Expert_ID,Token_Count,Percentage,Rank
2,7,10.94,1
51,6,9.38,2
0,5,7.81,3
14,5,7.81,4
36,5,7.81,5
19,4,6.25,6
22,4,6.25,7
34,4,6.25,8
41,4,6.25,9
46,4,6.25,10
48,4,6.25,11
54,4,6.25,12
58,4,6.25,13
9,3,4.69,14
40,3,4.69,15
47,3,4.69,16
53,3,4.69,17
55,3,4.69,18
59,3,4.69,19
3,2,3.12,20
6,2,3.12,21
7,2,3.12,22
10,2,3.12,23
13,2,3.12,24
23,2,3.12,25
24,2,3.12,26
29,2,3.12,27
32,2,3.12,28
37,2,3.12,29
38,2,3.12,30
42,2,3.12,31
43,2,3.12,32
44,2,3.12,33
45,2,3.12,34
61,2,3.12,35
1,1,1.56,36
4,1,1.56,37
5,1,1.56,38
11,1,1.56,39
15,1,1.56,40
18,1,1.56,41
20,1,1.56,42
21,1,1.56,43
25,1,1.56,44
28,1,1.56,45
30,1,1.56,46
33,1,1.56,47
49,1,1.56,48
50,1,1.56,49
52,1,1.56,50
57,1,1.56,51
62,1,1.56,52
63,1,1.56,53
8,0,0.00,54
12,0,0.00,55
16,0,0.00,56
17,0,0.00,57
26,0,0.00,58
27,0,0.00,59
31,0,0.00,60
35,0,0.00,61
39,0,0.00,62
56,0,0.00,63
60,0,0.00,64
