Expert_ID,Token_Count,Percentage,Rank
60,7,10.94,1
33,6,9.38,2
37,6,9.38,3
15,5,7.81,4
16,5,7.81,5
9,4,6.25,6
10,4,6.25,7
31,4,6.25,8
36,4,6.25,9
38,4,6.25,10
41,4,6.25,11
44,4,6.25,12
11,3,4.69,13
12,3,4.69,14
19,3,4.69,15
21,3,4.69,16
35,3,4.69,17
43,3,4.69,18
54,3,4.69,19
55,3,4.69,20
57,3,4.69,21
63,3,4.69,22
1,2,3.12,23
2,2,3.12,24
4,2,3.12,25
8,2,3.12,26
22,2,3.12,27
23,2,3.12,28
29,2,3.12,29
34,2,3.12,30
42,2,3.12,31
50,2,3.12,32
51,2,3.12,33
58,2,3.12,34
5,1,1.56,35
6,1,1.56,36
7,1,1.56,37
13,1,1.56,38
14,1,1.56,39
24,1,1.56,40
27,1,1.56,41
28,1,1.56,42
32,1,1.56,43
39,1,1.56,44
45,1,1.56,45
46,1,1.56,46
47,1,1.56,47
48,1,1.56,48
52,1,1.56,49
59,1,1.56,50
61,1,1.56,51
0,0,0.00,52
3,0,0.00,53
17,0,0.00,54
18,0,0.00,55
20,0,0.00,56
25,0,0.00,57
26,0,0.00,58
30,0,0.00,59
40,0,0.00,60
49,0,0.00,61
53,0,0.00,62
56,0,0.00,63
62,0,0.00,64
