Expert_ID,Token_Count,Percentage,Rank
25,15,23.44,1
37,12,18.75,2
11,11,17.19,3
53,10,15.62,4
14,9,14.06,5
18,9,14.06,6
26,9,14.06,7
48,9,14.06,8
3,8,12.50,9
6,8,12.50,10
12,8,12.50,11
13,8,12.50,12
16,8,12.50,13
17,8,12.50,14
23,8,12.50,15
30,8,12.50,16
40,8,12.50,17
50,8,12.50,18
54,8,12.50,19
4,7,10.94,20
7,7,10.94,21
38,7,10.94,22
39,7,10.94,23
43,7,10.94,24
63,7,10.94,25
20,6,9.38,26
21,6,9.38,27
27,6,9.38,28
35,6,9.38,29
45,6,9.38,30
46,6,9.38,31
51,6,9.38,32
56,6,9.38,33
58,6,9.38,34
60,6,9.38,35
62,6,9.38,36
22,5,7.81,37
24,5,7.81,38
33,5,7.81,39
42,5,7.81,40
44,5,7.81,41
59,5,7.81,42
0,4,6.25,43
5,4,6.25,44
8,4,6.25,45
9,4,6.25,46
15,4,6.25,47
19,4,6.25,48
29,4,6.25,49
31,4,6.25,50
36,4,6.25,51
41,4,6.25,52
52,4,6.25,53
55,4,6.25,54
61,4,6.25,55
1,3,4.69,56
32,3,4.69,57
47,3,4.69,58
49,3,4.69,59
57,3,4.69,60
2,2,3.12,61
10,2,3.12,62
28,2,3.12,63
34,1,1.56,64
