Expert_ID,Token_Count,Percentage,Rank
13,12,18.75,1
17,11,17.19,2
40,11,17.19,3
24,10,15.62,4
49,10,15.62,5
16,9,14.06,6
34,9,14.06,7
43,9,14.06,8
52,9,14.06,9
57,9,14.06,10
61,9,14.06,11
4,8,12.50,12
6,8,12.50,13
14,8,12.50,14
22,8,12.50,15
25,8,12.50,16
38,8,12.50,17
60,8,12.50,18
26,7,10.94,19
42,7,10.94,20
44,7,10.94,21
54,7,10.94,22
3,6,9.38,23
7,6,9.38,24
10,6,9.38,25
29,6,9.38,26
31,6,9.38,27
33,6,9.38,28
35,6,9.38,29
37,6,9.38,30
41,6,9.38,31
45,6,9.38,32
46,6,9.38,33
51,6,9.38,34
53,6,9.38,35
56,6,9.38,36
63,6,9.38,37
0,5,7.81,38
2,5,7.81,39
12,5,7.81,40
15,5,7.81,41
21,5,7.81,42
30,5,7.81,43
32,5,7.81,44
36,5,7.81,45
48,5,7.81,46
55,5,7.81,47
59,5,7.81,48
1,4,6.25,49
8,4,6.25,50
11,4,6.25,51
23,4,6.25,52
5,3,4.69,53
9,3,4.69,54
18,3,4.69,55
19,3,4.69,56
28,3,4.69,57
39,3,4.69,58
47,3,4.69,59
62,3,4.69,60
27,2,3.12,61
50,2,3.12,62
58,2,3.12,63
20,1,1.56,64
