Expert_ID,Token_Count,Percentage,Rank
0,81,3.96,1
23,78,3.81,2
9,67,3.27,3
6,64,3.12,4
14,58,2.83,5
2,53,2.59,6
15,53,2.59,7
50,51,2.49,8
7,48,2.34,9
51,48,2.34,10
60,43,2.10,11
21,42,2.05,12
32,41,2.00,13
43,41,2.00,14
19,40,1.95,15
38,40,1.95,16
53,40,1.95,17
3,39,1.90,18
58,39,1.90,19
62,39,1.90,20
41,38,1.86,21
59,38,1.86,22
26,37,1.81,23
17,36,1.76,24
33,36,1.76,25
44,36,1.76,26
11,34,1.66,27
40,34,1.66,28
18,31,1.51,29
12,30,1.46,30
25,30,1.46,31
45,30,1.46,32
1,29,1.42,33
4,29,1.42,34
28,29,1.42,35
42,29,1.42,36
63,29,1.42,37
37,28,1.37,38
27,27,1.32,39
39,27,1.32,40
57,27,1.32,41
46,26,1.27,42
56,26,1.27,43
54,25,1.22,44
61,24,1.17,45
49,23,1.12,46
52,23,1.12,47
30,20,0.98,48
34,19,0.93,49
35,18,0.88,50
10,17,0.83,51
55,16,0.78,52
5,15,0.73,53
24,15,0.73,54
48,15,0.73,55
16,14,0.68,56
29,12,0.59,57
31,12,0.59,58
47,12,0.59,59
8,11,0.54,60
13,11,0.54,61
36,11,0.54,62
20,7,0.34,63
22,7,0.34,64
