OpName	StartCycle	EndCycle	TotalCycle	ComputeCycles	MemoryStalls	WeightLoadCycles	SystolicMemoryStalls	MemoryReads	MemoryWrites	ReadBandwidth	WriteBandwidth	TotalMemoryBandwidth	NumCalculation	NpuUtilization	
layer0.ffn.moe_expert.52.fc2	276035	276102	67	61	0	0	0	1408	128	21014925373	1910447761	22925373134	352	0.180328	
layer0.ffn.moe_expert.21.fc1	139833	139901	68	61	0	0	0	1536	64	22588235294	941176470	23529411764	176	0.090164	
layer0.ffn.moe_expert.1.gelu	60484	60497	13	2	0	0	0	128	192	9846153846	14769230769	24615384615	0	0.000000	
layer0.ffn.moe_expert.63.gelu	338415	338427	12	1	0	0	0	64	128	5333333333	10666666666	16000000000	0	0.000000	
layer0.ffn.moe_expert.55.param_load	287446	292970	5524	5523	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.35.gelu	207964	207976	12	1	0	0	0	64	128	5333333333	10666666666	16000000000	0	0.000000	
layer0.ffn.moe_expert.58.fc1	309984	310052	68	61	0	0	0	1536	128	22588235294	1882352941	24470588235	352	0.180328	
layer0.ffn.moe_expert.19.param_load	122965	128489	5524	5523	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.28.fc2	168275	168343	68	61	0	0	0	1408	64	20705882352	941176470	21647058823	352	0.180328	
layer0.ffn.moe_expert.45.gelu	247663	247676	13	2	0	0	0	192	192	14769230769	14769230769	29538461538	0	0.000000	
layer0.ffn.moe_expert.28.gelu	168262	168275	13	2	0	0	0	192	192	14769230769	14769230769	29538461538	0	0.000000	
layer0.ffn.moe_expert.61.gelu	327073	327085	12	1	0	0	0	128	64	10666666666	5333333333	16000000000	0	0.000000	
layer0.ffn.moe_expert.33.param_load	191031	196555	5524	5523	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.ln	16425	32824	16399	16388	0	0	0	1573056	1572864	95923897798	95912189767	191836087566	0	0.000000	
layer0.ffn.moe_expert.6.fc2	71845	71912	67	61	0	0	0	1472	128	21970149253	1910447761	23880597014	704	0.360656	
layer0.ffn.moe_expert.12.fc2	94535	94603	68	61	0	0	0	1408	128	20705882352	1882352941	22588235294	528	0.270492	
layer0.ffn.moe_expert.45.param_load	242071	247595	5524	5523	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.14.gelu	100195	100208	13	2	0	0	0	128	192	9846153846	14769230769	24615384615	0	0.000000	
layer0.ffn.moe_expert.10.gelu	88847	88861	14	3	0	0	0	256	256	18285714285	18285714285	36571428571	0	0.000000	
