NPU Expert Operations - Total Cycles
Decoder-BS64/1st/npu/7
================================================================================
 Expert Number  param_load  fc1  gelu  fc2  total compute
             0      353536   68    14   68            150
             2      353536   68    13   68            149
             3      353536   67    13   67            147
             6      353600   67    13   67            147
             7      353536   68    13   68            149
             8      353600   67    13   68            148
            10      353536   67    12   67            146
            12      353536   67    12   68            147
            13      353536   68    13   68            149
            14      353536   67    14   67            148
            15      353536   67    12   68            147
            16      353536   68    15   68            151
            17      353536   67    14   67            148
            18      353536   67    14   67            148
            19      353536   67    12   68            147
            20      353536   68    13   68            149
            21      353536   67    12   68            147
            23      353536   68    12   68            148
            25      353536   67    14   67            148
            26      353536   67    14   67            148
            27      353536   67    13   67            147
            28      353536   68    12   67            147
            30      353536   67    13   67            147
            31      353600   68    12   67            147
            32      353600   67    12   67            146
            33      353536   67    12   68            147
            34      353536   68    13   68            149
            35      353536   67    13   68            148
            36      353536   67    12   67            146
            37      353536   67    12   68            147
            38      353536   68    15   68            151
            39      353600   67    14   67            148
            40      353536   67    15   67            149
            42      353536   68    12   68            148
            43      353536   68    13   67            148
            45      353536   68    12   68            148
            47      353536   67    15   68            150
            48      353536   67    15   67            149
            49      353536   68    14   68            150
            50      353536   68    12   67            147
            51      353536   67    13   67            147
            53      353536   68    13   67            148
            54      353536   67    12   68            147
            57      353536   68    14   68            150
            58      353536   68    12   67            147
            60      353536   67    12   68            147
            61      353536   68    12   68            148
            62      353536   68    13   67            148
