NPU Expert Operations - Total Cycles
Decoder-BS64/2nd/npu/7
================================================================================
 Expert Number  param_load  fc1  gelu  fc2  total compute
             0      353536   68    14   68            150
             2      353536   68    12   68            148
             3      353536   67    14   67            148
             5      353600   67    13   67            147
             6      353600   68    13   68            149
             9      353536   67    14   67            148
            10      353536   67    13   68            148
            12      353536   67    12   67            146
            13      353536   67    12   68            147
            14      353536   68    12   67            147
            16      353536  117    16  116            249
            17      353536   67    12   67            146
            18      353536   67    13   68            148
            19      353536   67    14   67            148
            20      353536   67    12   67            146
            21      353536   67    13   68            148
            23      353536   67    14   67            148
            25      353536   67    13   67            147
            27      353536   68    14   68            150
            28      353536   68    14   67            149
            29      353536   67    15   68            150
            30      353536   67    13   68            148
            31      353600  117    16  116            249
            34      353536   67    13   67            147
            35      353536   68    14   68            150
            37      353536   68    12   67            147
            39      353600   67    12   67            146
            40      353536   67    14   67            148
            41      353536   67    12   68            147
            42      353536   68    12   67            147
            43      353536   67    13   67            147
            44      353536   68    12   67            147
            45      353536   67    12   67            146
            46      353536   67    13   68            148
            47      353536   67    12   67            146
            48      353536   68    13   68            149
            49      353536   67    12   68            147
            50      353536   68    12   68            148
            51      353536   68    12   67            147
            52      353536   67    12   68            147
            53      353536   68    13   68            149
            54      353536   67    15   67            149
            55      353536   68    12   68            148
            56      353536   68    12   67            147
            57      353536   67    13   68            148
            58      353536   67    13   67            147
            59      353536   68    12   67            147
            60      353536   67    12   67            146
            62      353536   67    13   68            148
