OpName	StartCycle	EndCycle	TotalCycle	ComputeCycles	MemoryStalls	WeightLoadCycles	SystolicMemoryStalls	MemoryReads	MemoryWrites	ReadBandwidth	WriteBandwidth	TotalMemoryBandwidth	NumCalculation	NpuUtilization	
layer0.ffn.moe_expert.27.pim_barrier	8714646	8714648	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.26.gelu	8711739	8711781	42	1	0	0	0	256	192	6095238095	4571428571	10666666666	0	0.000000	
layer0.ffn.moe_expert.58.pim_barrier	8866702	8866704	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.12.pim_barrier	8644441	8644443	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.39.pim_barrier	8784825	8784827	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.53.fc1	8837567	8840432	2865	2829	0	0	0	70720	128	24684118673	44677137	24728795811	11264	0.124426	
layer0.ffn.moe_expert.8.fc2	8629895	8632760	2865	2829	0	0	0	69440	64	24237347294	22338568	24259685863	22528	0.248851	
layer0.ffn.moe_expert.59.pim_barrier	8872671	8872673	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.17.gelu	8670891	8670920	29	2	0	0	0	448	512	15448275862	17655172413	33103448275	0	0.000000	
layer0.ffn.moe_expert.48.fc2	8817035	8819870	2835	2829	0	0	0	69248	64	24426102292	22574955	24448677248	11264	0.124426	
layer0.ffn.moe_expert.32.pim_barrier	8743965	8743967	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.0.gelu	8601021	8601051	30	3	0	0	0	640	704	21333333333	23466666666	44800000000	0	0.000000	
layer0.ffn.moe_expert.17.fc1	8667849	8670891	3042	2829	0	0	0	70720	128	23247863247	42077580	23289940828	22528	0.248851	
layer0.ffn.moe_expert.56.gelu	8858091	8858103	12	1	0	0	0	256	192	21333333333	16000000000	37333333333	0	0.000000	
