NPU Expert Operations - Total Cycles
Decoder-BS64/3rd/npu/7
================================================================================
 Expert Number  param_load  fc1  gelu  fc2  total compute
             0      353536   68    13   68            149
             1      353600   67    13   67            147
             2      353536   68    12   67            147
             3      353536   67    14   67            148
             4      353536   67    12   68            147
             5      353600   68    14   68            150
             6      353600   68    13   68            149
             7      353536   67    14   67            148
            10      353536   67    12   68            147
            11      353536   68    13   68            149
            12      353536   67    12   68            147
            13      353536   68    13   67            148
            14      353536   67    12   68            147
            15      353536   68    13   67            148
            16      353536   68    15   67            150
            17      353536   68    15   68            151
            18      353536   67    12   68            147
            19      353536   68    13   68            149
            20      353536   67    14   67            148
            21      353536   67    13   68            148
            22      353536  117    16  116            249
            23      353536   67    13   67            147
            25      353536   68    15   68            151
            26      353536   67    12   67            146
            27      353536   67    12   68            147
            29      353536   68    13   68            149
            31      353600   67    12   68            147
            32      353600   68    12   67            147
            34      353536   67    12   67            146
            35      353536   67    12   68            147
            36      353536   68    12   67            147
            37      353536   67    12   67            146
            39      353600   68    14   68            150
            40      353536   68    14   68            150
            41      353536   68    12   68            148
            42      353536   68    12   67            147
            43      353536   67    13   67            147
            44      353536   68    12   67            147
            46      353536   67    14   67            148
            47      353536   67    12   68            147
            48      353536   68    12   68            148
            49      353536   68    12   67            147
            50      353536   67    12   68            147
            51      353536   68    12   67            147
            54      353536   67    13   67            147
            55      353536   68    12   67            147
            56      353536   67    12   67            146
            57      353536   67    13   68            148
            58      353536   67    12   67            146
            60      353536   67    14   67            148
            61      353536   67    14   68            149
            62      353536   67    12   68            147
