NPU Expert Operations - Total Cycles
Decoder-BS64/4th/npu/7
================================================================================
 Expert Number  param_load  fc1  gelu  fc2  total compute
             1      353600   68    12   68            148
             2      353536   67    15   68            150
             3      353536   67    13   67            147
             4      353536   67    14   67            148
             6      353600   67    13   67            147
             7      353536   68    12   67            147
             8      353600   67    12   67            146
             9      353536   67    13   68            148
            10      353536   67    14   67            148
            11      353536   67    15   67            149
            12      353536   68    14   68            150
            14      353536   68    13   68            149
            15      353536   67    13   67            147
            16      353536   68    14   68            150
            17      353536   68    13   67            148
            19      353536   68    12   68            148
            20      353536   67    14   67            148
            21      353536  117    17  116            250
            24      353536   68    12   68            148
            25      353536   68    13   67            148
            27      353536   68    15   68            151
            28      353536   68    12   67            147
            30      353536   67    13   67            147
            31      353600   67    13   67            147
            32      353600  117    16  116            249
            34      353536   68    12   68            148
            36      353536   68    12   67            147
            38      353536   67    12   68            147
            40      353536   68    13   68            149
            41      353536   67    13   68            148
            42      353536   67    13   67            147
            43      353536   68    13   68            149
            44      353536   67    12   68            147
            45      353536   68    12   67            147
            46      353536   67    13   67            147
            47      353536   68    12   67            147
            49      353536   67    12   67            146
            50      353536   67    12   68            147
            51      353536   68    12   67            147
            53      353536   67    13   67            147
            55      353536   68    13   67            148
            56      353536   68    13   68            149
            58      353536   67    14   67            148
            59      353536   67    13   67            147
            61      353536   68    13   67            148
            62      353536   68    13   68            149
