OpName	StartCycle	EndCycle	TotalCycle	ComputeCycles	MemoryStalls	WeightLoadCycles	SystolicMemoryStalls	MemoryReads	MemoryWrites	ReadBandwidth	WriteBandwidth	TotalMemoryBandwidth	NumCalculation	NpuUtilization	
layer0.ffn.moe_expert.19.param_load	12039688	12580313	540625	540624	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.43.param_load	26613085	27143267	530182	530181	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.ln	418830	421342	2512	2560	0	0	0	1085568	1081344	432152866242	430471337579	862624203821	0	0.000000	
layer0.ffn.moe_expert.0.fc2	990203	1005229	15026	14073	0	0	0	5969984	256	397310262212	17037135	397327299347	8650752	0.037519	
layer0.ffn.moe_expert.41.gelu	25992444	25992554	110	12	0	0	0	68352	68352	621381818181	621381818181	1242763636363	0	0.000000	
layer0.ffn.moe_expert.9.fc2	6583835	6599674	15839	14197	0	0	0	6037632	1024	381187701243	64650546	381252351789	43253760	0.185955	
layer0.ffn.moe_expert.58.gelu	36068058	36068282	224	29	0	0	0	165184	165184	737428571428	737428571428	1474857142857	0	0.000000	
layer0.ffn.moe_expert.54.fc1	33658625	33672801	14176	12381	0	0	0	5832768	448	411453724604	31602708	411485327313	20185088	0.099507	
layer0.ffn.moe_expert.32.param_load	19900519	20499468	598949	598948	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.51.gelu	31866120	31866261	141	17	0	0	0	96832	96832	686751773049	686751773049	1373503546099	0	0.000000	
layer0.ffn.moe_expert.53.fc1	33050443	33064734	14291	12629	0	0	0	6015040	640	420897068084	44783430	420941851514	25952256	0.125426	
layer0.ffn.moe_expert.54.fc2	33672935	33686824	13889	13825	0	0	0	5992512	512	431457412340	36863705	431494276045	20185088	0.089114	
layer0.ffn.moe_expert.1.gelu	1638064	1638512	448	61	0	0	0	347456	347456	775571428571	775571428571	1551142857142	0	0.000000	
layer0.ffn.moe_expert.46.gelu	28914152	28914222	70	5	0	0	0	28480	28480	406857142857	406857142857	813714285714	0	0.000000	
layer0.ffn.moe_expert.3.fc2	2887818	2903068	15250	14197	0	0	0	6076992	1472	398491278688	96524590	398587803278	63438848	0.272734	
layer0.ffn.moe_expert.10.param_load	6599674	7161015	561341	561340	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.31.fc2	19885210	19900519	15309	14046	0	0	0	6020672	832	393276634659	54347116	393330981775	34603008	0.150363	
layer0.ffn.moe_expert.43.fc2	27156875	27174124	17249	13949	0	0	0	6082688	1536	352640037103	89048640	352729085744	66322432	0.290200	
layer0.ffn.moe_expert.2.param_load	1670571	2249792	579221	579220	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.5.param_load	3524309	4123962	599653	599652	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.41.fc2	25992554	26008021	15467	14108	0	0	0	6020736	832	389263334841	53791944	389317126786	34603008	0.149702	
layer0.ffn.moe_expert.12.fc2	8368851	8384379	15528	13949	0	0	0	6116480	1920	393900051519	123647604	394023699124	83623936	0.365904	
layer0.ffn.moe_expert.21.param_load	13227554	13804314	576760	576759	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.29.fc2	18628861	18642982	14121	14011	0	0	0	6026304	896	426761844062	63451596	426825295658	37486592	0.163300	
layer0.ffn.moe_expert.22.fc2	14437223	14452446	15223	14073	0	0	0	5975616	320	392538658608	21020823	392559679432	11534336	0.050025	
layer0.ffn.moe_expert.58.fc1	36053801	36068058	14257	12629	0	0	0	6015104	1920	421905309672	134670688	422039980360	83623936	0.404149	
layer0.ffn.moe_expert.25.fc2	16201723	16217092	15369	14073	0	0	0	6020736	832	391745461643	54134946	391799596590	34603008	0.150075	
layer0.ffn.moe_expert.32.gelu	20513555	20513692	137	17	0	0	0	96832	96832	706802919708	706802919708	1413605839416	0	0.000000	
layer0.ffn.moe_expert.5.fc1	4123962	4137379	13417	12505	0	0	0	6015040	1728	448314824476	128791831	448443616307	74973184	0.365934	
layer0.ffn.moe_expert.5.gelu	4137379	4137575	196	26	0	0	0	148096	148096	755591836734	755591836734	1511183673469	0	0.000000	
layer0.ffn.moe_expert.17.fc2	11401477	11415939	14462	13949	0	0	0	6082688	1536	420597980915	106209376	420704190291	66322432	0.290200	
layer0.ffn.moe_expert.14.fc2	9569188	9584674	15486	14197	0	0	0	6026368	896	389149425287	57858711	389207283998	37486592	0.161161	
