OpName	StartCycle	EndCycle	TotalCycle	ComputeCycles	MemoryStalls	WeightLoadCycles	SystolicMemoryStalls	MemoryReads	MemoryWrites	ReadBandwidth	WriteBandwidth	TotalMemoryBandwidth	NumCalculation	NpuUtilization	
layer0.ffn.moe_expert.18.fc2	5030625	5077903	47278	47217	0	0	0	6516288	192	137829180591	4061085	137833241676	8650752	0.044730	
layer0.ffn.moe_expert.42.fc2	8584249	8631551	47302	47217	0	0	0	6566976	448	138830831677	9471058	138840302735	34603008	0.178919	
layer0.ffn.ln	2272994	2275257	2263	2560	0	0	0	1085568	1081344	479703049049	477836500220	957539549270	0	0.000000	
layer0.ffn.moe_expert.0.gelu	2412066	2412125	59	3	0	0	0	17088	17088	289627118644	289627118644	579254237288	0	0.000000	
layer0.ffn.moe_expert.62.pim_barrier	11063158	11063160	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.41.fc1	8444375	8490284	45909	45873	0	0	0	6524992	448	142128820057	9758435	142138578492	34603008	0.184161	
layer0.ffn.moe_expert.9.gelu	3814180	3814309	129	15	0	0	0	85440	85440	662325581395	662325581395	1324651162790	0	0.000000	
layer0.ffn.moe_expert.58.fc1	10501575	10593309	91734	91697	0	0	0	6561984	2112	71532735953	23023088	71555759042	83623936	0.222646	
layer0.ffn.moe_expert.31.fc2	6897472	6944767	47295	47217	0	0	0	6566976	448	138851379638	9472460	138860852098	34603008	0.178919	
layer0.ffn.moe_expert.51.fc1	9660297	9752031	91734	91697	0	0	0	6561984	1344	71532735953	14651056	71547387010	49020928	0.130517	
layer0.ffn.moe_expert.32.pim_barrier	6944767	6944769	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.15.pim_barrier	4425355	4425357	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.23.pim_barrier	5730934	5730936	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.54.gelu	10081411	10081492	81	7	0	0	0	39872	39872	492246913580	492246913580	984493827160	0	0.000000	
layer0.ffn.moe_expert.1.fc1	2459467	2642848	183381	183345	0	0	0	6635904	8832	36186431527	48162023	36234593551	175898624	0.234225	
layer0.ffn.moe_expert.51.pim_barrier	9660295	9660297	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.46.fc1	9006390	9052299	45909	45873	0	0	0	6524992	256	142128820057	5576248	142134396305	14417920	0.076734	
layer0.ffn.moe_expert.3.gelu	3020100	3020275	175	22	0	0	0	125312	125312	716068571428	716068571428	1432137142857	0	0.000000	
layer0.ffn.moe_expert.9.fc2	3814309	3861588	47279	47217	0	0	0	6583872	576	139255737219	12182998	139267920218	43253760	0.223648	
