OpName	StartCycle	EndCycle	TotalCycle	ComputeCycles	MemoryStalls	WeightLoadCycles	SystolicMemoryStalls	MemoryReads	MemoryWrites	ReadBandwidth	WriteBandwidth	TotalMemoryBandwidth	NumCalculation	NpuUtilization	
layer0.ffn.moe_expert.19.param_load	2576381	2678269	101888	101887	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.43.param_load	5293702	5394952	101250	101249	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.ln	418830	421342	2512	2560	0	0	0	1085568	1081344	432152866242	430471337579	862624203821	0	0.000000	
layer0.ffn.moe_expert.0.fc2	537420	540973	3553	3529	0	0	0	1492544	256	420079932451	72051787	420151984238	2162688	0.037404	
layer0.ffn.moe_expert.41.gelu	5177777	5177835	58	12	0	0	0	17664	17664	304551724137	304551724137	609103448275	0	0.000000	
layer0.ffn.moe_expert.9.fc2	1558846	1562510	3664	3591	0	0	0	1509504	1024	411982532751	279475982	412262008733	10813440	0.183793	
layer0.ffn.moe_expert.58.gelu	7067951	7068020	69	29	0	0	0	42688	42688	618666666666	618666666666	1237333333333	0	0.000000	
layer0.ffn.moe_expert.54.fc1	6617010	6620857	3847	3809	0	0	0	1507392	448	391835716142	116454380	391952170522	5046272	0.080861	
layer0.ffn.moe_expert.32.param_load	4048359	4153811	105452	105451	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.51.gelu	6284757	6284807	50	17	0	0	0	25024	25024	500480000000	500480000000	1000960000000	0	0.000000	
layer0.ffn.moe_expert.53.fc1	6504903	6509221	4318	3871	0	0	0	1554496	640	360003705419	148216767	360151922186	6488064	0.102299	
layer0.ffn.moe_expert.54.fc2	6620908	6625576	4668	3591	0	0	0	1498176	512	320946015424	109682947	321055698371	5046272	0.085770	
layer0.ffn.moe_expert.1.gelu	654786	654933	147	61	0	0	0	89792	89792	610829931972	610829931972	1221659863945	0	0.000000	
layer0.ffn.moe_expert.46.gelu	5729936	5729984	48	5	0	0	0	7360	7360	153333333333	153333333333	306666666666	0	0.000000	
layer0.ffn.moe_expert.3.fc2	883629	887410	3781	3591	0	0	0	1519296	1472	401823856122	389314996	402213171118	15859712	0.269563	
layer0.ffn.moe_expert.10.param_load	1562510	1665664	103154	103153	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.31.fc2	4044770	4048359	3589	3529	0	0	0	1505216	832	419397046531	231819448	419628865979	8650752	0.149617	
layer0.ffn.moe_expert.43.fc2	5398867	5402468	3601	3529	0	0	0	1520768	1536	422318244931	426548181	422744793113	16580608	0.286767	
layer0.ffn.moe_expert.2.param_load	661995	766241	104246	104245	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.5.param_load	1000773	1106268	105495	105494	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.41.fc2	5177835	5181424	3589	3529	0	0	0	1505280	832	419414878796	231819448	419646698244	8650752	0.149617	
layer0.ffn.moe_expert.12.fc2	1891892	1896237	4345	3529	0	0	0	1529216	1920	351948446490	441887226	352390333716	20905984	0.361576	
layer0.ffn.moe_expert.21.param_load	2798233	2902329	104096	104095	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.29.fc2	3818023	3822341	4318	3715	0	0	0	1506624	896	348917091245	207503473	349124594719	9371648	0.153970	
layer0.ffn.moe_expert.22.fc2	3024259	3027812	3553	3529	0	0	0	1493952	320	420476217281	90064734	420566282015	2883584	0.049872	
layer0.ffn.moe_expert.58.fc1	7064101	7067951	3850	3809	0	0	0	1554560	1920	403781818181	498701298	404280519480	20905984	0.334996	
layer0.ffn.moe_expert.25.fc2	3358676	3362255	3579	3529	0	0	0	1505280	832	420586756077	232467169	420819223246	8650752	0.149617	
layer0.ffn.moe_expert.32.gelu	4157664	4157730	66	17	0	0	0	25024	25024	379151515151	379151515151	758303030303	0	0.000000	
layer0.ffn.moe_expert.5.fc1	1106268	1110221	3953	3871	0	0	0	1554496	1728	393244624335	437136352	393681760688	18743296	0.295531	
layer0.ffn.moe_expert.5.gelu	1110221	1110301	80	26	0	0	0	38272	38272	478400000000	478400000000	956800000000	0	0.000000	
layer0.ffn.moe_expert.17.fc2	2458924	2463605	4681	3901	0	0	0	1520768	1536	324881008331	328135013	325209143345	16580608	0.259421	
layer0.ffn.moe_expert.14.fc2	2115739	2120546	4807	3777	0	0	0	1506688	896	313436238818	186394840	313622633659	9371648	0.151443	
layer0.ffn.moe_expert.39.fc1	4953346	4957194	3848	3809	0	0	0	1554496	256	403975051975	66528066	404041580041	2162688	0.034655	
