OpName	StartCycle	EndCycle	TotalCycle	ComputeCycles	MemoryStalls	WeightLoadCycles	SystolicMemoryStalls	MemoryReads	MemoryWrites	ReadBandwidth	WriteBandwidth	TotalMemoryBandwidth	NumCalculation	NpuUtilization	
layer0.ffn.moe_expert.18.fc2	3052567	3064430	11863	11841	0	0	0	1629120	192	137327826013	16184776	137344010789	2162688	0.044591	
layer0.ffn.moe_expert.42.fc2	3967960	3979857	11897	11841	0	0	0	1641792	448	138000504328	37656552	138038160880	8650752	0.178363	
layer0.ffn.ln	2272994	2275257	2263	2560	0	0	0	1085568	1081344	479703049049	477836500220	957539549270	0	0.000000	
layer0.ffn.moe_expert.0.gelu	2378274	2378320	46	3	0	0	0	4416	4416	96000000000	96000000000	192000000000	0	0.000000	
layer0.ffn.moe_expert.62.pim_barrier	4605051	4605053	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.41.fc1	3931705	3943822	12117	12081	0	0	0	1658944	448	136910456383	36972848	136947429231	8650752	0.174820	
layer0.ffn.moe_expert.9.gelu	2738887	2738949	62	15	0	0	0	22080	22080	356129032258	356129032258	712258064516	0	0.000000	
layer0.ffn.moe_expert.58.fc1	4460810	4484961	24151	24113	0	0	0	1695936	2112	70222185416	87449795	70309635211	20905984	0.211670	
layer0.ffn.moe_expert.31.fc2	3535137	3547025	11888	11841	0	0	0	1641792	448	138104979811	37685060	138142664872	8650752	0.178363	
layer0.ffn.moe_expert.51.fc1	4244008	4268159	24151	24113	0	0	0	1695936	1344	70222185416	55649869	70277835286	12255232	0.124082	
layer0.ffn.moe_expert.32.pim_barrier	3547025	3547027	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.15.pim_barrier	2896375	2896377	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.23.pim_barrier	3232602	3232604	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.54.gelu	4352149	4352200	51	7	0	0	0	10304	10304	202039215686	202039215686	404078431372	0	0.000000	
layer0.ffn.moe_expert.1.fc1	2390185	2438398	48213	48177	0	0	0	1769856	8832	36709103353	183187107	36892290461	43974656	0.222845	
layer0.ffn.moe_expert.51.pim_barrier	4244006	4244008	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.46.fc1	4075994	4088111	12117	12081	0	0	0	1658944	256	136910456383	21127341	136931583725	3604480	0.072842	
layer0.ffn.moe_expert.3.gelu	2534054	2534130	76	22	0	0	0	32384	32384	426105263157	426105263157	852210526315	0	0.000000	
layer0.ffn.moe_expert.9.fc2	2738949	2750844	11895	11841	0	0	0	1646016	576	138378814627	48423707	138427238335	10813440	0.222954	
layer0.ffn.moe_expert.31.gelu	3535077	3535137	60	12	0	0	0	17664	17664	294400000000	294400000000	588800000000	0	0.000000	
layer0.ffn.moe_expert.43.gelu	4004009	4004082	73	23	0	0	0	33856	33856	463780821917	463780821917	927561643835	0	0.000000	
layer0.ffn.moe_expert.1.fc2	2438545	2485799	47254	47217	0	0	0	1719552	8832	36389554323	186904812	36576459135	43974656	0.227376	
layer0.ffn.moe_expert.4.fc2	2582033	2606444	24411	23663	0	0	0	1653184	1408	67722911802	57678915	67780590717	12976128	0.133880	
layer0.ffn.moe_expert.41.gelu	3943822	3943881	59	12	0	0	0	17664	17664	299389830508	299389830508	598779661016	0	0.000000	
layer0.ffn.moe_expert.12.gelu	2823268	2823356	88	29	0	0	0	42688	42688	485090909090	485090909090	970181818181	0	0.000000	
layer0.ffn.moe_expert.20.fc2	3112735	3136437	23702	23633	0	0	0	1670080	2176	70461564424	91806598	70553371023	21626880	0.223416	
layer0.ffn.moe_expert.9.pim_barrier	2726767	2726769	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.29.gelu	3486295	3486354	59	13	0	0	0	19136	19136	324338983050	324338983050	648677966101	0	0.000000	
layer0.ffn.moe_expert.22.gelu	3220692	3220739	47	4	0	0	0	5888	5888	125276595744	125276595744	250553191489	0	0.000000	
layer0.ffn.moe_expert.17.pim_barrier	2992194	2992196	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.25.gelu	3293936	3293994	58	12	0	0	0	17664	17664	304551724137	304551724137	609103448275	0	0.000000	
layer0.ffn.moe_expert.32.fc1	3547027	3571942	24915	24233	0	0	0	1695936	1344	68068874172	53943407	68122817579	12255232	0.123468	
layer0.ffn.moe_expert.5.fc1	2606446	2630595	24149	24113	0	0	0	1695872	1920	70225350946	79506397	70304857343	18743296	0.189773	
layer0.ffn.moe_expert.17.gelu	3016346	3016426	80	23	0	0	0	33856	33856	423200000000	423200000000	846400000000	0	0.000000	
layer0.ffn.moe_expert.18.pim_barrier	3040117	3040119	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.14.gelu	2884013	2884072	59	13	0	0	0	19136	19136	324338983050	324338983050	648677966101	0	0.000000	
