Note: Data is for 8 units of 32x32 systolic array
      Max MAC per cycle: 8192 (32x32x8 = 8192)

Expert     param_load      fc1             gelu            fc2             Total           32units         Total+load     
------------------------------------------------------------------------------------------------------------------------
28         104384          11763           185             10489           22437           5609            109993         
1          105998          7815            147             7062            15024           3756            109754         
38         105036          7686            135             7001            14822           3705            108741         
34         104144          7562            117             7024            14703           3675            107819         
21         104096          7561            111             7016            14688           3672            107768         
16         102886          7670            91              7286            15047           3761            106647         
20         104943          3861            89              3591            7541            1885            106828         
12         101736          3848            91              4345            8284            2071            103807         
47         104601          3849            85              3599            7533            1883            106484         
58         104424          3850            69              3588            7507            1876            106300         
5          105495          3953            80              3573            7606            1901            107396         
17         104278          3849            74              4681            8604            2151            106429         
43         101250          3849            66              3601            7516            1879            103129         
3          105346          3855            76              3781            7712            1928            107274         
33         103043          4326            228             3598            8152            2038            105081         
60         103859          3848            75              4851            8774            2193            106052         
4          105070          4643            66              3584            8293            2073            107143         
50         104784          3849            62              3579            7490            1872            106656         
32         105452          3853            66              3583            7502            1875            107327         
51         102881          3850            50              4705            8605            2151            105032         
55         103094          3848            70              3780            7698            1924            105018         
37         104687          4878            66              3577            8521            2130            106817         
48         101926          3849            66              3786            7701            1925            103851         
8          105919          3848            62              3591            7501            1875            107794         
9          102522          4666            62              3664            8392            2098            104620         
27         101404          3848            65              3576            7489            1872            103276         
49         101472          3849            62              3738            7649            1912            103384         
35         101702          3848            62              3764            7674            1918            103620         
14         105275          3849            73              4807            8729            2182            107457         
29         104108          4140            70              4318            8528            2132            106240         
61         104703          3849            59              3585            7493            1873            106576         
63         101354          3848            59              3585            7492            1873            103227         
25         103104          4665            60              3579            8304            2076            105180         
31         105747          3849            58              3589            7496            1874            107621         
41         102955          3848            58              3589            7495            1873            104828         
42         104070          3851            57              4300            8208            2052            106122         
45         103098          3849            59              3580            7488            1872            104970         
11         105369          3848            280             3579            7707            1926            107295         
57         102295          3848            67              4517            8432            2108            104403         
15         104234          3847            64              4099            8010            2002            106236         
19         101888          3848            54              3578            7480            1870            103758         
53         102938          4318            54              3574            7946            1986            104924         
2          104246          4481            52              3578            8111            2027            106273         
6          105521          3849            56              3553            7458            1864            107385         
13         102251          4399            102             3553            8054            2013            104264         
36         105183          4756            52              3587            8395            2098            107281         
44         101868          3988            38              3594            7620            1905            103773         
40         102604          3849            51              3677            7577            1894            104498         
52         104328          4493            51              3581            8125            2031            106359         
54         104161          3847            51              4668            8566            2141            106302         
23         102845          3851            53              4679            8583            2145            104990         
30         105227          3848            117             3583            7548            1887            107114         
46         103545          3849            48              4886            8783            2195            105740         
10         103154          3848            47              3582            7477            1869            105023         
22         103161          4034            47              3553            7634            1908            105069         
59         104147          3850            47              3621            7518            1879            106026         
0          102112          3834            32              3553            7419            1854            103966         
18         105295          3849            46              3586            7481            1870            107165         
39         105971          3848            46              3553            7447            1861            107832         
62         101626          3849            46              4566            8461            2115            103741         
7          103840          3851            48              3584            7483            1870            105710         
24         103195          4172            28              4212            8412            2103            105298         
26         103268          3848            42              4578            8468            2117            105385         
56         105103          3849            42              3588            7479            1869            106972         
------------------------------------------------------------------------------------------------------------------------
TOTAL EXECUTION CYCLES:   6779043        
