Note: Data is for 8 units of 16x16 systolic array
      Max MAC per cycle: 2048 (16x16x8 = 2048)

Expert     fc1             gelu            fc2             Total          
----------------------------------------------------------------------
28         30123           173             29881           60177          
1          24106           147             23627           47880          
38         24106           127             23635           47868          
34         18091           220             17752           36063          
21         18090           432             17760           36282          
16         18091           96              17737           35924          
20         12074           91              11851           24016          
12         12074           88              11851           24013          
47         12075           88              11850           24013          
58         12075           389             11850           24314          
5          12074           293             11852           24219          
17         12075           80              11845           24000          
43         12075           73              11839           23987          
3          12099           76              11842           24017          
33         12075           73              11850           23998          
60         12074           72              11835           23981          
4          12075           66              12205           24346          
50         12075           66              11835           23976          
32         12457           67              11844           24368          
51         12075           64              11844           23983          
55         12074           69              12204           24347          
37         6116            65              5951            12132          
48         6058            64              5942            12064          
8          6059            62              5948            12069          
9          6059            62              5947            12068          
27         6059            62              5947            12068          
49         6058            62              5938            12058          
35         6058            62              5944            12064          
14         6058            59              6151            12268          
29         6058            59              5945            12062          
61         6058            59              5948            12065          
63         6095            59              5946            12100          
25         6109            58              5949            12116          
31         6058            60              5944            12062          
41         6058            59              5951            12068          
42         6058            58              5948            12064          
45         6058            170             5941            12169          
11         6058            57              6033            12148          
57         6058            56              5943            12057          
15         6058            54              5945            12057          
19         6058            54              5945            12057          
53         6058            54              5943            12055          
2          6058            52              5941            12051          
6          6058            54              5931            12043          
13         6459            52              5931            12442          
36         6058            53              5931            12042          
44         6058            54              5944            12056          
40         6058            207             5949            12214          
52         6058            51              5945            12054          
54         6058            51              5947            12056          
23         6058            50              6460            12568          
30         6365            54              5963            12382          
46         6058            48              5946            12052          
10         6059            47              5931            12037          
22         6058            47              5931            12036          
59         6058            51              5931            12040          
0          6055            46              5931            12032          
18         6201            46              5931            12178          
39         6058            46              5931            12035          
62         6058            46              5966            12070          
7          6058            48              5946            12052          
24         6058            42              5931            12031          
26         6058            42              5931            12031          
56         6058            42              5931            12031          
----------------------------------------------------------------------
           --              --              --              --             
activation_movement_1:    51239          
Sum of all experts:       1146176        
activation_movement_2:    50700          
TOTAL EXECUTION CYCLES:   1248115        
