OpName	StartCycle	EndCycle	TotalCycle	ComputeCycles	MemoryStalls	WeightLoadCycles	SystolicMemoryStalls	MemoryReads	MemoryWrites	ReadBandwidth	WriteBandwidth	TotalMemoryBandwidth	NumCalculation	NpuUtilization	
layer0.ffn.moe_expert.39.fc1	1520221	1522502	2281	2269	0	0	0	19392	13184	8501534414	5779921087	14281455501	33088	0.455707	
layer0.ffn.moe_expert.19.fc2	1317915	1320197	2282	2269	0	0	0	14144	17984	6198071866	7880806310	14078878177	32912	0.453283	
layer0.ffn.moe_expert.41.gelu	1544319	1544528	209	198	0	0	0	16640	16640	79617224880	79617224880	159234449760	0	0.000000	
layer0.ffn.moe_expert.63.param_load	1769930	1775454	5524	5523	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.6.param_load	1174219	1179744	5525	5524	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.12.fc2	1245579	1247813	2234	2221	0	0	0	14144	17600	6331244404	7878245299	14209489704	32032	0.450698	
layer0.ffn.moe_expert.54.param_load	1669871	1675395	5524	5523	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.57.fc1	1708946	1712812	3866	3853	0	0	0	32000	22400	8277289187	5794102431	14071391619	56144	0.455359	
layer0.ffn.moe_expert.38.param_load	1503411	1508935	5524	5523	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.57.fc2	1713142	1717008	3866	3853	0	0	0	23808	30720	6158303155	7946197620	14104500775	56144	0.455359	
layer0.ffn.moe_expert.0.fc2	1121803	1123700	1897	1885	0	0	0	12288	13696	6477596204	7219820769	13697416974	27280	0.452255	
layer0.ffn.moe_expert.12.gelu	1245386	1245579	193	182	0	0	0	15296	15296	79253886010	79253886010	158507772020	0	0.000000	
layer0.ffn.moe_expert.62.fc2	1768225	1769930	1705	1693	0	0	0	9728	13376	5705571847	7845161290	13550733137	24288	0.448317	
layer0.ffn.moe_expert.44.fc2	1577644	1580310	2666	2653	0	0	0	16704	17536	6265566391	6577644411	12843210802	38368	0.451941	
layer0.ffn.moe_expert.51.fc1	1645243	1647572	2329	2317	0	0	0	19776	13376	8491197939	5743237440	14234435379	33264	0.448640	
layer0.ffn.moe_expert.23.param_load	1351150	1356674	5524	5523	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.39.fc2	1522701	1524983	2282	2269	0	0	0	14592	18048	6394390885	7908851884	14303242769	33088	0.455707	
layer0.ffn.moe_expert.56.fc2	1701092	1703422	2330	2317	0	0	0	14720	18368	6317596566	7883261802	14200858369	33440	0.451014	
layer0.ffn.moe_expert.20.fc1	1325721	1327425	1704	1693	0	0	0	9984	8384	5859154929	4920187793	10779342723	24464	0.451565	
layer0.ffn.moe_expert.44.param_load	1569226	1574750	5524	5523	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.51.fc2	1647772	1650102	2330	2317	0	0	0	14784	18304	6345064377	7855793991	14200858369	33264	0.448640	
layer0.ffn.moe_expert.58.param_load	1717008	1722532	5524	5523	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.27.fc2	1400985	1403073	2088	2077	0	0	0	11712	16448	5609195402	7877394636	13486590038	30096	0.452817	
layer0.ffn.moe_expert.37.param_load	1493328	1498852	5524	5523	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.6.fc2	1181912	1183906	1994	1981	0	0	0	12864	15744	6451354062	7895687061	14347041123	28688	0.452549	
layer0.ffn.moe_expert.24.gelu	1369286	1369488	202	191	0	0	0	16000	16064	79207920792	79524752475	158732673267	0	0.000000	
layer0.ffn.moe_expert.61.param_load	1750061	1755585	5524	5523	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.3.fc2	1150831	1152248	1417	1405	0	0	0	9472	11072	6684544812	7813690896	14498235709	19888	0.442349	
layer0.ffn.moe_expert.54.fc1	1675395	1678348	2953	2941	0	0	0	24768	17024	8387402641	5764984761	14152387402	42416	0.450697	
layer0.ffn.ln	16425	32824	16399	16388	0	0	0	1573056	1572864	95923897798	95912189767	191836087566	0	0.000000	
layer0.ffn.moe_expert.13.fc2	1255450	1257396	1946	1933	0	0	0	10880	15232	5590955806	7827338129	13418293936	27632	0.446715	
layer0.ffn.moe_expert.50.param_load	1629135	1634659	5524	5523	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.3.fc1	1149290	1150707	1417	1405	0	0	0	12480	8000	8807339449	5645730416	14453069865	19888	0.442349	
layer0.ffn.moe_expert.52.param_load	1650102	1655626	5524	5523	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.58.fc1	1722532	1724958	2426	2413	0	0	0	20480	13952	8441879637	5751030502	14192910140	34672	0.449026	
layer0.ffn.moe_expert.7.fc1	1189430	1191903	2473	2461	0	0	0	20928	14272	8462596037	5771128184	14233724221	35904	0.455912	
layer0.ffn.moe_expert.13.param_load	1247813	1253337	5524	5523	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.22.param_load	1340065	1345589	5524	5523	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.33.gelu	1461641	1461849	208	197	0	0	0	16512	16512	79384615384	79384615384	158769230769	0	0.000000	
layer0.ffn.moe_expert.45.gelu	1588020	1588211	191	180	0	0	0	15168	15104	79413612565	79078534031	158492146596	0	0.000000	
layer0.ffn.moe_expert.27.fc1	1398714	1400803	2089	2077	0	0	0	17856	11968	8547630445	5729056965	14276687410	30096	0.452817	
layer0.ffn.moe_expert.22.fc1	1345589	1348254	2665	2653	0	0	0	22464	15360	8429268292	5763602251	14192870544	38544	0.454014	
layer0.ffn.moe_expert.50.gelu	1637084	1637294	210	199	0	0	0	16768	16704	79847619047	79542857142	159390476190	0	0.000000	
layer0.ffn.moe_expert.20.gelu	1327425	1327575	150	139	0	0	0	11648	11648	77653333333	77653333333	155306666666	0	0.000000	
layer0.ffn.moe_expert.34.gelu	1471504	1471655	151	140	0	0	0	11776	11776	77986754966	77986754966	155973509933	0	0.000000	
layer0.ffn.moe_expert.40.fc1	1530507	1533317	2810	2797	0	0	0	23552	15744	8381494661	5602846975	13984341637	40656	0.454237	
layer0.ffn.moe_expert.35.gelu	1480734	1480894	160	149	0	0	0	12544	12480	78400000000	78000000000	156400000000	0	0.000000	
layer0.ffn.moe_expert.30.fc2	1430525	1432423	1898	1885	0	0	0	11968	14912	6305584826	7856691253	14162276080	27104	0.449337	
layer0.ffn.moe_expert.19.gelu	1317717	1317915	198	187	0	0	0	15680	15680	79191919191	79191919191	158383838383	0	0.000000	
layer0.ffn.moe_expert.5.fc2	1171842	1174219	2377	2365	0	0	0	15104	18816	6354228018	7915860328	14270088346	34496	0.455814	
layer0.ffn.moe_expert.32.gelu	1450849	1451074	225	214	0	0	0	17984	17984	79928888888	79928888888	159857777777	0	0.000000	
layer0.ffn.moe_expert.31.fc2	1440427	1442708	2281	2269	0	0	0	14528	17984	6369136343	7884261288	14253397632	32736	0.450859	
layer0.ffn.moe_expert.8.fc1	1200116	1202397	2281	2269	0	0	0	19392	11264	8501534414	4938185006	13439719421	32912	0.453283	
layer0.ffn.moe_expert.29.fc2	1420322	1422939	2617	2605	0	0	0	15936	20672	6089415361	7899121131	13988536492	37488	0.449712	
layer0.attn.res	0	16425	16425	16384	0	0	0	3145728	1572864	191520730593	95760365296	287281095890	0	0.000000	
layer0.ffn.moe_expert.49.fc1	1626173	1627591	1418	1405	0	0	0	12416	8128	8755994358	5732016925	14488011283	20240	0.450178	
layer0.ffn.moe_expert.32.fc1	1448233	1450849	2616	2605	0	0	0	14848	12928	5675840978	4941896024	10617737003	37664	0.451823	
layer0.ffn.moe_expert.9.fc1	1210401	1213354	2953	2941	0	0	0	24768	16960	8387402641	5743311886	14130714527	42416	0.450697	
layer0.ffn.res	32824	49219	16395	16384	0	0	0	3145728	1572864	191871180237	95935590118	287806770356	0	0.000000	
layer0.ffn.moe_expert.24.fc1	1366957	1369286	2329	2317	0	0	0	19712	13056	8463718334	5605839416	14069557750	33616	0.453388	
layer0.ffn.moe_expert.58.gelu	1724958	1725166	208	197	0	0	0	16512	16576	79384615384	79692307692	159076923076	0	0.000000	
layer0.ffn.moe_expert.22.gelu	1348254	1348484	230	219	0	0	0	18368	18432	79860869565	80139130434	160000000000	0	0.000000	
