PIM Expert Operations - Total Cycles
Note: 2 activation movements (fc1 and fc2)

--- Activation Movements ---
layer0.ffn.activation_movement_2: 143149 cycles
layer0.ffn.activation_movement_1: 143817 cycles
Total activation movement cycles: 286966
----------------------------

================================================================================
 Expert Number    fc1  gelu    fc2  total compute
             0 143674   554 143673         287901
             1 154936   261 154922         310119
             2 152120   254 152120         304494
             3 163383   273 163369         327025
             4 132409   233 132410         265052
             5 126776   221 126765         253762
             6 123960   217 123946         248123
             7 160567   266 160554         321387
             8  95801   267  95786         191854
             9 118328   411 118328         237067
            10 143673   243 143673         287589
            11 157751   262 157738         315751
            12 121145   210 121143         242498
            13 118328   206 118315         236849
            14 146488   249 146487         293224
            15 185911   305 186164         372380
            16  84537   161  84531         169229
            17 146488   247 146475         293210
            18 171831   291 171817         343939
            19 149305   253 149306         298864
            20  87352   165  87346         174863
            21 160569   278 160569         321416
            22 135224   247 135229         270700
            23 135223   233 135225         270681
            24 138042   234 138039         276315
            25 140865   240 140855         281960
            26 135224   371 135211         270806
            27 152119   257 152122         304498
            28 129594   225 129600         259419
            29  95801   175  96055         192031
            30 112696   201 112696         225593
            31 123959   217 123945         248121
            32 160570   267 160554         321391
            33 138041   236 138026         276303
            34 112696   198 112683         225577
            35  84536   159  84531         169226
            36  70455   138  70451         141044
            37 154934   260 154925         310119
            38 135226   232 135486         270944
            39 154936   261 154936         310133
            40 149303   253 149313         298869
            41 163382   283 163382         327047
            42 121145   210 121131         242486
            43 129592   232 129578         259402
            44 149303   253 149304         298860
            45 123958   216 123947         248121
            46 154937   260 154922         310119
            47 109880   201 109867         219948
            48 126775   219 126764         253758
            49 123958   217 123960         248135
            50 171833   292 171816         343941
            51 154936   260 154935         310131
            52 143843   243 143670         287756
            53 146486   246 146475         293207
            54 135225   230 135208         270663
            55 101432   183 101416         203031
            56 154935   263 154936         310134
            57 135222   236 135223         270681
            58 126777   224 126775         253776
            59 143673   242 143659         287574
            60 157751   264 157750         315765
            61 126774   219 126775         253768
            62 154937   261 155202         310400
            63 152120   256 152119         304495
