OpName	StartCycle	EndCycle	TotalCycle	ComputeCycles	MemoryStalls	WeightLoadCycles	SystolicMemoryStalls	MemoryReads	MemoryWrites	ReadBandwidth	WriteBandwidth	TotalMemoryBandwidth	NumCalculation	NpuUtilization	
layer0.ffn.moe_expert.20.pim_barrier	13781301	13781303	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.19.gelu	13676856	13677053	197	146	0	0	0	35008	35072	177705583756	178030456852	355736040609	0	0.000000	
layer0.ffn.moe_expert.46.pim_barrier	21141707	21141709	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.8.pim_barrier	10695945	10695947	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.32.pim_barrier	17125828	17125830	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.41.fc1	19669820	19841759	171939	171789	0	0	0	256576	128448	1492250158	747055641	2239305800	2725888	0.495864	
layer0.ffn.moe_expert.62.fc2	25704998	25817694	112696	112653	0	0	0	153856	122112	1365230354	1083552211	2448782565	1768448	0.490568	
layer0.ffn.moe_expert.5.fc2	9917916	10047510	129594	129549	0	0	0	166720	140800	1286479312	1086470052	2372949364	2050048	0.494516	
layer0.ffn.moe_expert.47.pim_barrier	21350390	21350392	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.12.gelu	11973551	11973795	244	203	0	0	0	48768	48704	199868852459	199606557377	399475409836	0	0.000000	
layer0.ffn.moe_expert.53.fc2	23304981	23448661	143680	143629	0	0	0	177408	156416	1234743875	1088641425	2323385300	2286592	0.497504	
layer0.ffn.moe_expert.37.fc2	18635061	18823776	188715	188685	0	0	0	210880	205056	1117452242	1086590891	2204043133	2984960	0.494369	
layer0.ffn.moe_expert.57.gelu	24536833	24537389	556	199	0	0	0	47744	47808	85870503597	85985611510	171856115107	0	0.000000	
layer0.ffn.moe_expert.25.pim_barrier	15157522	15157524	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.0.gelu	8688326	8688493	167	126	0	0	0	30208	30272	180886227544	181269461077	362155688622	0	0.000000	
layer0.ffn.moe_expert.12.fc1	11829878	11973551	143673	143629	0	0	0	225856	107520	1572014226	748366081	2320380308	2286592	0.497504	
layer0.ffn.moe_expert.62.gelu	25704800	25704998	198	157	0	0	0	37696	37696	190383838383	190383838383	380767676767	0	0.000000	
layer0.ffn.moe_expert.44.gelu	20749624	20749904	280	236	0	0	0	56640	56640	202285714285	202285714285	404571428571	0	0.000000	
layer0.ffn.moe_expert.22.fc2	14472219	14632775	160556	160525	0	0	0	190144	174848	1184284610	1089015670	2273300281	2556928	0.497767	
layer0.ffn.moe_expert.39.gelu	19271967	19272341	374	161	0	0	0	38656	38656	103358288770	103358288770	206716577540	0	0.000000	
layer0.ffn.moe_expert.56.gelu	24297179	24297360	181	140	0	0	0	33600	33600	185635359116	185635359116	371270718232	0	0.000000	
layer0.ffn.moe_expert.43.fc2	20425668	20583421	157753	157709	0	0	0	187968	171776	1191533599	1088892128	2280425728	2511872	0.497727	
layer0.ffn.moe_expert.51.gelu	22729484	22729707	223	180	0	0	0	43200	43200	193721973094	193721973094	387443946188	0	0.000000	
layer0.ffn.moe_expert.57.fc2	24537389	24678244	140855	140813	0	0	0	175296	153344	1244513861	1088665649	2333179510	2241536	0.497454	
layer0.ffn.moe_expert.27.gelu	15823073	15823353	280	239	0	0	0	57344	57344	204800000000	204800000000	409600000000	0	0.000000	
layer0.ffn.moe_expert.36.fc2	18305181	18446025	140844	140813	0	0	0	174976	152832	1242339041	1085115446	2327454488	2219008	0.492455	
layer0.ffn.moe_expert.6.gelu	10213711	10213988	277	236	0	0	0	56640	56640	204476534296	204476534296	408953068592	0	0.000000	
layer0.ffn.moe_expert.24.fc1	14886843	15022068	135225	135181	0	0	0	216640	101376	1602070623	749683860	2351754483	2162688	0.499952	
layer0.ffn.moe_expert.60.fc2	25264876	25383206	118330	118285	0	0	0	158080	128256	1335924955	1083884053	2419809008	1858560	0.491017	
layer0.ffn.moe_expert.3.gelu	9390433	9390644	211	169	0	0	0	40576	40576	192303317535	192303317535	384606635071	0	0.000000	
layer0.ffn.ln	16425	32848	16423	16388	0	0	0	5243520	5242880	319279059855	319240090117	638519149972	0	0.000000	
layer0.ffn.moe_expert.41.pim_barrier	19669818	19669820	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.13.gelu	12241415	12241630	215	174	0	0	0	41792	41728	194381395348	194083720930	388465116279	0	0.000000	
layer0.ffn.moe_expert.49.fc2	22123265	22264122	140857	140813	0	0	0	174976	152832	1242224383	1085015299	2327239682	2219008	0.492455	
layer0.ffn.moe_expert.51.pim_barrier	22602448	22602450	2	1	0	0	0	0	0	0	0	0	0	0.000000	
layer0.ffn.moe_expert.51.fc2	22729707	22856495	126788	126733	0	0	0	164928	138240	1300817112	1090324005	2391141117	2027520	0.499949	
